id,created,edited,title,Access Type,Category,Factsheet Status,Factsheet URL,Last Updated,Notes,Pricing,Tested,Tool ID,Tool Name
38135e21-8cf8-8181-8c73-cd789d7387b5,2026-06-16,2026-06-16,Sentry,MCP Natif,Dev / Monitoring,⬜ À documenter,,2026-06-16,,Freemium,,YT-92,Sentry
38135e21-8cf8-81dd-b1dc-f513f9549f50,2026-06-16,2026-06-16,Sentry,MCP Natif,Dev / Monitoring,⬜ À documenter,,2026-06-16,Error monitoring app crashes,Freemium,,YT-91,Sentry
38135e21-8cf8-81d7-affa-fe7ed541835b,2026-06-16,2026-06-16,Instagram,MCP Natif,CRM / Marketing,⬜ À documenter,,2026-06-16,,Inclus Y-OS,,YT-90,Instagram
38135e21-8cf8-8135-a9f0-d5d6edc43f19,2026-06-16,2026-06-16,Ferryhopper,MCP Natif,Travel,⬜ À documenter,,2026-06-16,,Free,,YT-89,Ferryhopper
38135e21-8cf8-81d8-a0d1-d6443338f6ea,2026-06-16,2026-06-16,Kiwi.com,MCP Natif,Travel,⬜ À documenter,,2026-06-16,,Free,,YT-88,Kiwi.com
38135e21-8cf8-8114-be20-e18201992449,2026-06-16,2026-06-16,Trivago,MCP Natif,Travel,⬜ À documenter,,2026-06-16,,Free,,YT-87,Trivago
38135e21-8cf8-818b-b00b-f30541b52831,2026-06-16,2026-06-16,Paste,MCP Natif,Security / Auth,⬜ À documenter,,2026-06-16,,Inconnu,,YT-86,Paste
38135e21-8cf8-817f-b515-d04664ede09e,2026-06-16,2026-06-16,1Password Y-OS,API Key,Security / Auth,⬜ À documenter,,2026-06-16,Vault Y-OS via OP_SERVICE_ACCOUNT_TOKEN,Payant,,YT-85,1Password Y-OS
38135e21-8cf8-8177-9c0e-d2e52f44b0bb,2026-06-16,2026-06-16,Serena,MCP Natif,Dev / Monitoring,⬜ À documenter,,2026-06-16,Code semantique,Free,,YT-84,Serena
38135e21-8cf8-81f3-ae58-c2c8ef844d14,2026-06-16,2026-06-16,Jam,MCP Natif,Dev / Monitoring,⬜ À documenter,,2026-06-16,Debug sessions,Freemium,,YT-83,Jam
38135e21-8cf8-8183-8ae3-dfcb1c25b7ee,2026-06-16,2026-06-16,Sentry,MCP Natif,Dev / Monitoring,⬜ À documenter,,2026-06-16,Error monitoring,Freemium,,YT-82,Sentry
