id,created,edited,title,Action,Keywords,Source,Source URL,Summary,Tags,Title,Turn Count
37235e21-8cf8-817a-b14d-eafc373e1678,2026-06-01,2026-06-01,"""How to Fix Spicetify Permission Denied Error?""",push+archive,"n8n, Ollama, OpenClaw, Chocolatey, qBittorrent",Manus,https://manus.im/app/GkuT4X9YzkAmUB8Rpmo5yj,The conversation revolves around fixing a script related to Spicetify and improving AI-generated outputs. Key decisions include reinforcing AI prompts for detailed responses and adjusting validation rules in the script. Actions identified include checking configurations in n8n and committing changes to GitHub. The discussion highlights the importance of flexibility in script validation and the need for thorough analysis of error symptoms to enhance functionality.,yOS,"""How to Fix Spicetify Permission Denied Error?""",1
37235e21-8cf8-81a3-a392-cafec88efba3,2026-06-01,2026-06-01,"""How to Fix Spicetify Permission Denied Error?""",push+archive,"n8n, Ollama, OpenClaw, OpenPhone, Chocolatey",Manus,https://manus.im/app/GkuT4X9YzkAmUB8Rpmo5yj,The conversation focused on resolving a Spicetify permission error and improving an AI script's functionality. Key decisions included reinforcing AI prompts for detailed responses and adjusting validation rules for text length. The team identified necessary actions such as checking configurations in n8n and updating the script directly on GitHub. Insights highlighted the importance of flexibility in script validation and the need for thorough error analysis to enhance performance.,yOS,"""How to Fix Spicetify Permission Denied Error?""",1
31735e21-8cf8-8124-8a83-c9eab01819e5,2026-03-02,2026-03-02,📝 [2026-03-03] Export Session vers Notion — Workflow et Archivage,archive,"export, session, Notion, archivage, memory-manager, workflow, Archive simple, Archive + Fusion",Manus,,"Session de documentation du workflow d'export de sessions Manus vers Notion. Yannick a demandé comment exporter une session, a reçu une explication structurée des deux modes disponibles (Archive simple et Archive + Fusion), puis a déclenché l'archivage de la session courante. La session illustre le fonctionnement complet du skill memory-manager en conditions réelles.","yOS, architecture",📝 [2026-03-03] Export Session vers Notion — Workflow et Archivage,4
31335e21-8cf8-819b-8ad8-d081085a4d3f,2026-02-26,2026-02-26,YOS MMM Pinecone Test,push+archive,"YOS, Pinecone, RAG, Notion, yos-memory-poc",Manus,,"La conversation porte sur la migration du système RAG vers Pinecone, en utilisant l'index yos-memory-poc et l'embedding text-embedding-3-small. Notion est désigné comme la source de vérité, tandis qu'un fallback JSON est prévu pour assurer la continuité. La version de l'outil est fixée à v2.3.0, et plusieurs actions doivent être entreprises pour finaliser cette migration.","yOS, architecture",YOS MMM Pinecone Test,None
31335e21-8cf8-81be-ab88-e53aafadd85c,2026-02-26,2026-02-26,YOS MMM Migration Pinecone — Test réel,push+archive,"YOS, MMM, Pinecone, AWS, Notion",Manus,,"La conversation porte sur la migration du RAG MMM vers Pinecone, avec des décisions clés telles que l'utilisation de Pinecone serverless sur AWS et la création de l'index yos-memory-poc. Notion est désignée comme source de vérité, et un fallback JSON est prévu en cas d'indisponibilité de Pinecone. L'embedding text-embedding-3-small est sélectionné pour ses dimensions spécifiques, et la version de l'endpoint est fixée à 2.3.0.","yOS, architecture",YOS MMM Migration Pinecone — Test réel,None
31335e21-8cf8-8148-8d0a-eb9fae58e3f7,2026-02-26,2026-02-26,Utilisation cigarette électronique,push+archive,"cigarette électronique, vape, Bear, Gear, AppleScript",Other,https://chatgpt.com/c/699f6ce2-0fbc-832f-ac80-3339e10a631b,"La conversation aborde l'utilisation d'une cigarette électronique de type pod et l'automatisation de l'application Bear via AppleScript. Elle explique également comment ajouter des User Scripts dans Gear, en soulignant l'importance des paramètres avancés. Des décisions et actions spécifiques sont identifiées, notamment la nécessité de vérifier le niveau de liquide de la cigarette électronique et d'activer les User Scripts dans Gear. La communication des étapes est essentielle pour guider les utilisateurs dans ces processus.",yOS,Utilisation cigarette électronique,7
31335e21-8cf8-8109-aaa1-d266738130fb,2026-02-26,2026-02-26,Utilisation cigarette électronique,push,"cigarette électronique, Bear, Gear, AppleScript, User Scripts",Other,https://chatgpt.com/c/699f6ce2-0fbc-832f-ac80-3339e10a631b,La conversation aborde l'utilisation d'une cigarette électronique de type pod et l'automatisation d'applications comme Bear et Gear. Des décisions ont été prises concernant l'utilisation de scripts pour améliorer l'efficacité. Les utilisateurs doivent vérifier le niveau de liquide de la cigarette électronique et activer les User Scripts dans Gear PRO. Des actions à réaliser incluent la préparation de scripts pour intégrer des fonctionnalités dans Y-OS et des vérifications dans les paramètres avancés de Gear.,yOS,Utilisation cigarette électronique,7
31335e21-8cf8-81f5-b342-d617ddfed7f9,2026-02-26,2026-02-26,Utilisation cigarette électronique,archive,,ChatGPT,https://chatgpt.com/c/699f6ce2-0fbc-832f-ac80-3339e10a631b,"Aucune idée ce que c est et comment utiliser

---

C’est une cigarette électronique (vape) de type pod.
On voit :

🔌 Port micro-USB en dessous → pour la recharger
🟡 Cartouche transparente avec liquide jaune → le e-liquide
🔘 Petit bouton → activation (ou parfois juste LED)
Marquage CE + modèle “CCELL JC425” → marque connue pour pods discrets
Comment ça fonctionne
1️⃣ Charger
Branche un câble micro-USB en dessous.
Attends que la LED indique charge complète.
2️⃣ Vérifier le liquide
La petite fenêtre montre le niveau.
Si vide → il faut remplacer la cartouche (pod).
3️⃣ Utiliser
Soit tu appuies sur le bouton en inhalant
Soit tu inhales simplement (certains modèles sont automatiques)
⚠️ Important
Si ça sent le brûlé → cartouche vide ou usée
Si ça ne fait plus de vapeur → batterie vide ou pod HS
Ne pas utiliser si la cartouche fuit
Si tu veux, je peux aussi t’expliquer :
👉 Comment savoir s’il contient de la nicotine
👉 Comment le nettoyer
👉 Comment changer la cartouche
👉 S’il vaut la peine d’être gardé ou jeté
Tu l’as trouvé où ?

---

Bear browser comment ajouter script

---

Si tu parles de Bear (l’app de notes sur Mac/iOS) :
👉 On ne peut pas ajouter de “script” directement dans Bear.
Bear ne supporte ni plugins ni scripts internes.

Mais tu peux l’automatiser de 3 façons :

🟢 Sur Mac
1️⃣ Via AppleScript
Bear supporte AppleScript.
Exemple simple :

applescript

tell application ""Bear""
  create note with title ""Test"" text ""Contenu ajouté automatiquement""
end tell
Tu peux l’exécuter via :
Script Editor
Raycast
Automator
Manus (dans ton architecture)
2️⃣

---

Ah 👍 tu parles de Gear Browser (iOS).
Oui, Gear supporte les User Scripts (comme Tampermonkey sur Mac).

Comment ajouter un script dans Gear (iPhone / iPad)
1️⃣ Ouvre Gear
2️⃣ ⚙️ Va dans Settings
3️⃣ Entre dans User Scripts
4️⃣ Appuie sur “+” (Add Script)
5️⃣ Colle ton script JavaScript
6️⃣ Définis :
📍 URL / domaine où il doit s’exécuter
⏱ Moment d’exécution (Document Start / End)
7️⃣ Active le script
C’est",,Utilisation cigarette électronique,None
31335e21-8cf8-81da-9c87-d730404c1a67,2026-02-26,2026-02-26,ChatGPT,push+archive,"ChatGPT, YOS, OpenAI, TAO Workspace",ChatGPT,https://chatgpt.com/,"La conversation aborde les capacités de ChatGPT, notamment sa propension à faire des erreurs. Il est également précisé qu'OpenAI ne se sert pas des données de TAO Workspace pour entraîner ses modèles, ce qui souligne une séparation entre les données de l'utilisateur et le processus d'apprentissage de l'IA.",,ChatGPT,None
31335e21-8cf8-8126-bbd2-cb2e2a3247fb,2026-02-26,2026-02-26,ChatGPT,push,"ChatGPT, OpenAI, YOS, TAO Workspace",ChatGPT,https://chatgpt.com/,"La conversation aborde les capacités de ChatGPT, en soulignant qu'il peut faire des erreurs. Il est également précisé qu'OpenAI n'utilise pas les données de TAO Workspace pour entraîner ses modèles, ce qui met en avant une politique de confidentialité concernant les données des utilisateurs.",,ChatGPT,None
