id,created,edited,title,Auth Credentials,Business Value,Capabilities,Category,Dependencies,Factsheet URL,Known Limits and Bugs,Last Updated,Pricing,Source Type,Source URL,Status,Tool ID,Tool Name,Tool Type,Workarounds and Lessons
38635e21-8cf8-8162-880f-da0147acb164,2026-06-21,2026-06-21,Tally,OAuth MCP,"Automatisation complète de la création et gestion de formulaires. Génération dynamique de formulaires d'onboarding, collecte de feedback, sondages. Extraction de charte graphique depuis URL pour alignement de marque.","25 outils MCP : list_workspaces, list_forms, load_form, save_form, create_new_form, create_blocks, remove_blocks, move_blocks, update_text, configure_blocks, apply_logic, set_column_layout, update_styling, extract_brand, update_custom_css, fetch_submissions, fetch_insights, list_blocks. Système de Ledger (UUIDs). Logique conditionnelle DSL.",Automation / Workflows,Compte Tally (Free ou Pro). MCP server tally activé. OAuth via navigateur.,https://app.notion.com/p/38635e218cf88126b435cc2a88b8a748,"load_form obligatoire avant manipulation. CSS custom nécessite Tally Pro. fetch_insights : 401 si pas Pro, enums stricts requis. Auth OAuth bloquante (timeout 230s) — nécessite action manuelle navigateur.",2026-06-21,Freemium,Officiel,https://tally.so,Production,YOT-70,Tally,MCP Connector,Source: test live 21 Juin 2026. fetch_insights : utiliser period=all et include parmi metrics/visits/submissions/dimensions/drop-off. Auth : prévoir take_over_browser. Ledger : toujours appeler list_blocks avant toute modification structurelle.
38135e21-8cf8-817b-859a-e46cd1a051d7,2026-06-16,2026-06-16,Ferryhopper,OAuth MCP,Recherche de ferries en Europe et Méditerranée.,Recherche et comparaison ferries.,Travel,,,,2026-06-16,Free,Officiel,https://www.ferryhopper.com/,A tester,YOT-69,Ferryhopper,MCP Connector,
38135e21-8cf8-81b7-8095-d2e083ea9cef,2026-06-16,2026-06-16,Kiwi.com,OAuth MCP,Recherche de vols pour Y-OS travel planning.,Recherche et comparaison vols globaux.,Travel,,,,2026-06-16,Free,Officiel,https://docs.kiwi.com/,A tester,YOT-68,Kiwi.com,MCP Connector,
38135e21-8cf8-8177-a127-cf05db564a11,2026-06-16,2026-06-16,Trivago,OAuth MCP,Comparaison de prix hôtels pour Y-OS travel planning.,Recherche et comparaison hôtels.,Travel,,,,2026-06-16,Free,Officiel,https://www.trivago.com/,A tester,YOT-67,Trivago,MCP Connector,
38135e21-8cf8-813e-bdfd-f7f928dca616,2026-06-16,2026-06-16,Jam,OAuth MCP,Debug de sessions utilisateurs avec vidéo et logs.,"Sessions vidéo, events, console logs, network requests.",Dev / Monitoring,,,Nécessite lien session Jam fourni par l'utilisateur.,2026-06-16,Freemium,Officiel,https://jam.dev/,A tester,YOT-64,Jam,MCP Connector,
38135e21-8cf8-818a-aa5e-db9bfbcbd375,2026-06-16,2026-06-16,1Password Y-OS,1Password Item,Vault centralisé pour tous les secrets Y-OS. Source of truth credentials.,"Lecture/écriture secrets, items, vaults via CLI op.",Security / Auth,"op CLI, OP_SERVICE_ACCOUNT_TOKEN env var",,Service account limité aux vaults autorisés.,2026-06-16,Payant,Officiel,https://developer.1password.com/docs/cli/,Production,YOT-66,1Password Y-OS,CLI Tool,Utiliser OP_SERVICE_ACCOUNT_TOKEN. Jamais copy-paste manuel de secrets.
38135e21-8cf8-8197-868a-fd61b349b42c,2026-06-16,2026-06-16,Hugging Face,OAuth MCP,"Accès à modèles, datasets et papers IA pour R&D Y-OS.","Modèles, datasets, papers, recherche sémantique, tests.",Dev / Monitoring,,,"[Live test 2026-06-18] OK — 10 tools, authenticated as yj000018 (hf_whoami)",2026-06-16,Freemium,Officiel,https://huggingface.co/docs/api-inference/,Production,YOT-62,Hugging Face,MCP Connector,
38135e21-8cf8-81d1-9a92-c98020d386be,2026-06-16,2026-06-16,Serena,No Auth,Récupération et édition sémantique de code pour Y-OS dev.,"Recherche sémantique dans code, édition ciblée.",Dev / Monitoring,,,Vérifier onboarding projet avant usage.,2026-06-16,Free,Communauté,https://github.com/oramasearch/serena,A tester,YOT-65,Serena,MCP Connector,Toujours vérifier si project onboarding effectué.
38135e21-8cf8-81d3-a484-c75668669e83,2026-06-16,2026-06-16,Sentry,OAuth MCP,Monitoring d'erreurs pour apps Y-OS en production.,"Erreurs, stack traces, projets, équipes, performance.",Dev / Monitoring,,,"[Live test 2026-06-18] OK — 9 tools, 1 org found (find_organizations)",2026-06-16,Freemium,Officiel,https://docs.sentry.io/api/,Production,YOT-63,Sentry,MCP Connector,
38135e21-8cf8-8105-9f90-c73e44548b88,2026-06-16,2026-06-16,Stripe,OAuth MCP,Paiements et abonnements pour apps Y-OS.,"Clients, abonnements, factures, paiements, remboursements.",CRM / Marketing,,,"[Live test 2026-06-18] OK — 11 tools, account 'Roberta & Yannick' confirmed",2026-06-16,Payant,Officiel,https://stripe.com/docs/api,Production,YOT-58,Stripe,MCP Connector,
38135e21-8cf8-815d-bc4b-d94909010b5f,2026-06-16,2026-06-16,Jotform,OAuth MCP,Formulaires et collecte de données pour Y-OS.,"Créer/modifier formulaires, soumissions, partage.",CRM / Marketing,,,,2026-06-16,Freemium,Officiel,https://api.jotform.com/docs/,A tester,YOT-59,Jotform,MCP Connector,
38135e21-8cf8-817e-81d9-e4a988f47070,2026-06-16,2026-06-16,HubSpot,OAuth MCP,"CRM complet pour Y-OS. Contacts, deals, pipelines.","Contacts, companies, deals, pipelines, workflows.",CRM / Marketing,,,[Live test 2026-06-18] FAIL — OAuth expired/invalid. Requires Delete + Re-add in Manus Apps.,2026-06-16,Freemium,Officiel,https://developers.hubspot.com/,A tester,YOT-57,HubSpot,MCP Connector,
